DIcomfort_index,date
-5.14731,2019-12-01
-5.44589,2019-12-02
-6.44582,2019-12-03
-5.59126,2019-12-04
-5.67328,2019-12-05
-5.2957,2019-12-06
-6.20213,2019-12-07
-5.95773,2019-12-08
-3.5699,2019-12-09
-2.97471,2019-12-10
-6.14772,2019-12-11
-6.36035,2019-12-12
-5.08537,2019-12-13
-3.35806,2019-12-14
-5.23159,2019-12-15
-5.97655,2019-12-16
-6.40062,2019-12-17
-6.89737,2019-12-18
-8.57863,2019-12-19
-7.28424,2019-12-20
-6.40946,2019-12-21
-6.03541,2019-12-22
-5.01146,2019-12-23
-5.27519,2019-12-24
-5.28277,2019-12-25
-4.81722,2019-12-26
-3.65401,2019-12-27
-4.54704,2019-12-28
-4.89502,2019-12-29
-4.61229,2019-12-30
-4.9157,2019-12-31
-5.59936,2020-01-01
-5.07781,2020-01-02
-3.90292,2020-01-03
-3.60389,2020-01-04
-5.68198,2020-01-05
-5.5303,2020-01-06
-5.40811,2020-01-07
-6.28366,2020-01-08
-6.79235,2020-01-09
-4.72611,2020-01-10
-2.31476,2020-01-11
-2.72539,2020-01-12
-5.04439,2020-01-13
-4.87106,2020-01-14
-4.40882,2020-01-15
-4.92448,2020-01-16
-7.11584,2020-01-17
-6.85316,2020-01-18
-6.45954,2020-01-19
-7.08541,2020-01-20
-7.02077,2020-01-21
-6.26207,2020-01-22
-5.57349,2020-01-23
-4.9234,2020-01-24
-4.68824,2020-01-25
-5.2694,2020-01-26
-5.39907,2020-01-27
-5.77659,2020-01-28
-6.02938,2020-01-29
-6.03201,2020-01-30
-5.33478,2020-01-31
-5.28993,2020-02-01
-5.29446,2020-02-02
-4.62242,2020-02-03
-3.74806,2020-02-04
-4.56599,2020-02-05
-5.3955,2020-02-06
-5.25781,2020-02-07
-5.81653,2020-02-08
-5.08898,2020-02-09
-4.76617,2020-02-10
-4.51797,2020-02-11
-4.92574,2020-02-12
-5.11407,2020-02-13
-6.77317,2020-02-14
-7.11257,2020-02-15
-5.10464,2020-02-16
-4.69664,2020-02-17
-4.83602,2020-02-18
-5.3581,2020-02-19
-6.01889,2020-02-20
-6.30379,2020-02-21
-4.95062,2020-02-22
-3.98423,2020-02-23
-3.64985,2020-02-24
-3.88649,2020-02-25
-4.35812,2020-02-26
-5.1705,2020-02-27
-5.90863,2020-02-28
-6.36766,2020-02-29
-5.97213,2020-03-01
-3.75214,2020-03-02
-3.0367,2020-03-03
-3.40831,2020-03-04
-4.12746,2020-03-05
-4.5873,2020-03-06
-4.41636,2020-03-07
-4.04718,2020-03-08
-2.62007,2020-03-09
-2.25571,2020-03-10
-3.58347,2020-03-11
-4.5091,2020-03-12
-2.77168,2020-03-13
-3.83169,2020-03-14
-3.64934,2020-03-15
-4.83682,2020-03-16
-3.89745,2020-03-17
-4.04994,2020-03-18
-3.8658,2020-03-19
-1.70391,2020-03-20
-3.84161,2020-03-21
-4.92809,2020-03-22
-5.22713,2020-03-23
-4.02128,2020-03-24
-4.61538,2020-03-25
-4.24228,2020-03-26
-2.53062,2020-03-27
-3.52861,2020-03-28
-3.53624,2020-03-29
-3.44707,2020-03-30
-4.45,2020-03-31
-3.9829,2020-04-01
-4.0504,2020-04-02
-3.84814,2020-04-03
-3.18981,2020-04-04
-2.20321,2020-04-05
-2.0964,2020-04-06
-1.82717,2020-04-07
-1.43035,2020-04-08
-3.0081,2020-04-09
-4.3207,2020-04-10
-3.95769,2020-04-11
-2.38582,2020-04-12
-1.60898,2020-04-13
-3.07479,2020-04-14
-3.45359,2020-04-15
-3.83052,2020-04-16
-4.08303,2020-04-17
-4.0739,2020-04-18
-3.01834,2020-04-19
-2.73143,2020-04-20
-3.23142,2020-04-21
-4.55944,2020-04-22
-3.99998,2020-04-23
-4.07118,2020-04-24
-2.98126,2020-04-25
-4.1243,2020-04-26
-4.12096,2020-04-27
-2.9512,2020-04-28
-2.9961,2020-04-29
-2.41624,2020-04-30
-1.83174,2020-05-01
-1.49688,2020-05-02
-0.62045,2020-05-03
-1.65579,2020-05-04
-2.86861,2020-05-05
-3.17746,2020-05-06
-2.51823,2020-05-07
-3.21038,2020-05-08
-4.53047,2020-05-09
-3.27774,2020-05-10
-2.97294,2020-05-11
-3.30365,2020-05-12
-2.75697,2020-05-13
-1.88265,2020-05-14
-0.05655,2020-05-15
-0.15461,2020-05-16
-1.2269,2020-05-17
-1.53324,2020-05-18
-1.86457,2020-05-19
-2.29539,2020-05-20
-2.44953,2020-05-21
-1.76665,2020-05-22
-1.04076,2020-05-23
-2.03836,2020-05-24
-1.94057,2020-05-25
-0.38736,2020-05-26
-0.2213,2020-05-27
-0.12212,2020-05-28
-0.55785,2020-05-29
-0.56159,2020-05-30
-1.38937,2020-05-31
-1.65446,2020-06-01
-0.93031,2020-06-02
-0.39002,2020-06-03
-0.92799,2020-06-04
-0.66689,2020-06-05
-1.13207,2020-06-06
-0.32504,2020-06-07
-0.31375,2020-06-08
-0.83264,2020-06-09
-1.44341,2020-06-10
-1.0946,2020-06-11
-0.84499,2020-06-12
-0.74303,2020-06-13
-0.97691,2020-06-14
-0.57597,2020-06-15
-0.49317,2020-06-16
-0.19197,2020-06-17
-0.11157,2020-06-18
-0.61672,2020-06-19
-0.84562,2020-06-20
-1.11622,2020-06-21
-1.43496,2020-06-22
-1.54546,2020-06-23
-1.40474,2020-06-24
-0.91309,2020-06-25
-0.96786,2020-06-26
-1.06072,2020-06-27
-1.40731,2020-06-28
-1.18071,2020-06-29
-0.49901,2020-06-30
-0.50241,2020-07-01
-1.40888,2020-07-02
-1.80278,2020-07-03
-1.25683,2020-07-04
-1.64219,2020-07-05
-1.72228,2020-07-06
-1.34569,2020-07-07
-1.29668,2020-07-08
-1.74446,2020-07-09
-1.404,2020-07-10
-1.62562,2020-07-11
-1.37728,2020-07-12
-1.48148,2020-07-13
-0.98654,2020-07-14
-0.91553,2020-07-15
-0.47339,2020-07-16
-0.94212,2020-07-17
-1.79221,2020-07-18
-2.26503,2020-07-19
-2.53985,2020-07-20
-2.12302,2020-07-21
-2.3375,2020-07-22
-2.15853,2020-07-23
-1.70901,2020-07-24
-1.79271,2020-07-25
-2.02524,2020-07-26
-2.1384,2020-07-27
-2.15042,2020-07-28
-1.98754,2020-07-29
-2.02598,2020-07-30
-1.21309,2020-07-31
-1.5527,2020-08-01
-1.93834,2020-08-02
-1.8874,2020-08-03
-1.40992,2020-08-04
-1.34571,2020-08-05
-1.08465,2020-08-06
-1.16872,2020-08-07
-1.09131,2020-08-08
-1.4515,2020-08-09
-1.99744,2020-08-10
-2.03865,2020-08-11
-2.00461,2020-08-12
-1.7989,2020-08-13
-1.64538,2020-08-14
-0.98905,2020-08-15
-0.21662,2020-08-16
-0.67304,2020-08-17
-0.91338,2020-08-18
-0.45951,2020-08-19
-0.37133,2020-08-20
-1.02858,2020-08-21
-1.56717,2020-08-22
-1.63124,2020-08-23
-1.69419,2020-08-24
-1.55214,2020-08-25
-0.15662,2020-08-26
-1.60693,2020-08-27
-1.58328,2020-08-28
-1.42691,2020-08-29
-0.34758,2020-08-30
-0.18585,2020-08-31
-0.6413,2020-09-01
-1.29531,2020-09-02
-1.82287,2020-09-03
-1.34542,2020-09-04
-0.21746,2020-09-05
-0.40887,2020-09-06
-0.48884,2020-09-07
-0.77328,2020-09-08
-0.74466,2020-09-09
-1.42557,2020-09-10
-0.93546,2020-09-11
-0.6484,2020-09-12
-0.21237,2020-09-13
-0.20404,2020-09-14
-1.45096,2020-09-15
-0.97746,2020-09-16
-0.08521,2020-09-17
-0.46054,2020-09-18
-1.95217,2020-09-19
-2.06385,2020-09-20
-1.9528,2020-09-21
-1.47887,2020-09-22
-0.59545,2020-09-23
-0.09459,2020-09-24
-0.24652,2020-09-25
-0.07425,2020-09-26
-0.51405,2020-09-27
-0.52593,2020-09-28
-0.33885,2020-09-29
-0.41924,2020-09-30
-0.79134,2020-10-01
-1.49152,2020-10-02
-1.49697,2020-10-03
-1.62347,2020-10-04
-1.19992,2020-10-05
-1.04107,2020-10-06
