location,New York,New York,New York,New York,New York,New York
lat,40.66653,40.66653,40.66653,40.66653,40.66653,40.66653
lon,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250
asl,44.788,44.788,44.788,44.788,44.788,44.788
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity
unit,°F,°F,°F,%,%,%
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Relative Humidity [2 m],New York Relative Humidity [2 m]
20191201T0000,46.087013,32.569016,38.273518,95.0,39.0,67.833336
20191202T0000,45.817013,29.851015,39.436764,96.0,81.0,91.833336
20191203T0000,38.221016,28.537014,32.42877,94.0,63.0,79.791664
20191204T0000,42.829014,33.577015,37.929268,97.0,66.0,85.375
20191205T0000,39.283012,30.913015,36.114265,92.0,55.0,74.916664
20191206T0000,49.471012,29.815014,37.974262,89.0,56.0,72.333336
20191207T0000,35.629013,28.735016,31.822016,86.0,52.0,67.583336
20191208T0000,42.271015,27.367016,34.262512,97.0,61.0,73.583336
20191209T0000,56.581017,39.733013,49.63902,100.0,99.0,99.75
20191210T0000,58.02101,36.997013,52.452267,100.0,82.0,94.291664
20191211T0000,38.725014,30.193014,34.216015,95.0,62.0,80.541664
20191212T0000,33.559013,24.433014,29.323767,84.0,45.0,59.583332
20191213T0000,50.155014,33.991016,41.888515,100.0,87.0,97.916664
20191214T0000,55.807014,39.679016,50.578766,100.0,83.0,96.791664
20191215T0000,41.155014,30.481014,38.143017,96.0,47.0,70.708336
20191216T0000,36.079014,28.429014,33.448013,86.0,54.0,69.125
20191217T0000,35.917015,31.993015,34.267765,95.0,83.0,90.583336
20191218T0000,35.251015,15.289015,28.718513,91.0,53.0,73.333336
20191219T0000,23.569016,12.661015,18.334764,88.0,55.0,71.25
20191220T0000,31.363014,21.931015,25.952515,89.0,46.0,70.916664
20191221T0000,37.825016,26.215015,32.017017,92.0,64.0,75.958336
20191222T0000,43.675014,28.231014,35.373264,100.0,63.0,84.333336
20191223T0000,51.091015,32.065014,40.287266,95.0,58.0,77.875
20191224T0000,44.593014,31.687016,38.552517,96.0,56.0,75.958336
20191225T0000,44.035015,31.975014,38.248013,92.0,65.0,73.875
20191226T0000,47.761013,35.611015,42.364014,96.0,72.0,87.791664
20191227T0000,55.375015,44.251015,48.706013,97.0,79.0,89.75
20191228T0000,46.555016,37.105015,42.56876,94.0,58.0,74.125
20191229T0000,45.529015,35.719013,40.941265,96.0,61.0,77.791664
20191230T0000,46.64501,40.579014,44.04851,97.0,93.0,94.916664
20191231T0000,46.267014,35.467014,40.787514,95.0,56.0,77.458336
20200101T0000,40.003014,30.805016,34.383266,72.0,52.0,60.583332
